"HomeTeam","AwayTeam","TotalGoals"
"Aston Villa","Bolton",4
"Everton","Man United",2
"Fulham","Birmingham",0
"Man City","West Brom",0
"Middlesbrough","Liverpool",0
"Portsmouth","Tottenham",2
"Sunderland","Charlton",4
"West Ham","Blackburn",4
"Arsenal","Newcastle",2
"Wigan","Chelsea",1
"Birmingham","Man City",3
"Blackburn","Fulham",3
"Charlton","Wigan",1
"Liverpool","Sunderland",1
"Man United","Aston Villa",1
"Newcastle","West Ham",0
"Tottenham","Middlesbrough",2
"West Brom","Portsmouth",3
"Bolton","Everton",1
"Chelsea","Arsenal",1
"Birmingham","Middlesbrough",3
"Portsmouth","Aston Villa",2
"Sunderland","Man City",3
"Arsenal","Fulham",5
"Blackburn","Tottenham",0
"Bolton","Newcastle",2
"Chelsea","West Brom",4
"Aston Villa","Blackburn",1
"Fulham","Everton",1
"Man City","Portsmouth",3
"Tottenham","Chelsea",2
"West Brom","Birmingham",5
"West Ham","Bolton",3
"Wigan","Sunderland",1
"Middlesbrough","Charlton",3
"Newcastle","Man United",2
"Birmingham","Charlton",1
"Chelsea","Sunderland",2
"Everton","Portsmouth",1
"Man United","Man City",2
"Middlesbrough","Arsenal",3
"Newcastle","Fulham",2
"Tottenham","Liverpool",0
"West Brom","Wigan",3
"Bolton","Blackburn",0
"West Ham","Aston Villa",4
"Aston Villa","Tottenham",2
"Charlton","Chelsea",2
"Fulham","West Ham",3
"Portsmouth","Birmingham",2
"Sunderland","West Brom",2
"Blackburn","Newcastle",3
"Liverpool","Man United",0
"Man City","Bolton",1
"Wigan","Middlesbrough",2
"Arsenal","Everton",2
"Birmingham","Liverpool",4
"Bolton","Portsmouth",1
"Chelsea","Aston Villa",3
"Everton","Wigan",1
"Man United","Blackburn",3
"Newcastle","Man City",1
"West Brom","Charlton",3
"West Ham","Arsenal",0
"Middlesbrough","Sunderland",2
"Tottenham","Fulham",1
"Blackburn","West Brom",2
"Charlton","Tottenham",5
"Fulham","Man United",5
"Portsmouth","Newcastle",0
"Sunderland","West Ham",2
"Arsenal","Birmingham",1
"Aston Villa","Middlesbrough",5
"Liverpool","Chelsea",5
"Man City","Everton",2
"Wigan","Bolton",3
"Chelsea","Bolton",6
